iter	RMSE
0	75112.48476
1	73015.07652
2	71226.5084
3	69221.90567
4	67522.61345
5	65934.71744
6	64502.81627
7	63108.63609
8	61747.98665
9	60303.10298
10	59062.22204
11	57811.57673
12	56499.75558
13	55463.89004
14	54275.01207
15	53201.35578
16	52349.18802
17	51556.70584
18	50787.33824
19	50069.03503
20	49407.49267
21	48610.3784
22	47911.3174
23	47137.54827
24	46503.58174
25	46057.47752
26	45428.65378
27	44854.9554
28	44394.39118
29	43773.14379
30	43237.80594
31	42803.39276
32	42343.26121
33	41956.16009
34	41627.00224
35	41330.15979
36	40955.1758
37	40679.15655
38	40251.61312
39	39816.00611
40	39487.19541
41	39131.81152
42	38842.60825
43	38446.77465
44	38139.36761
45	37827.6974
46	37509.42664
47	37129.78479
48	36944.16899
49	36780.96829
50	36494.39651
51	36213.84188
52	36045.39741
53	35901.42775
54	35784.00969
55	35551.09083
56	35302.82294
57	35119.76031
58	34819.95104
59	34625.33657
60	34442.6558
61	34199.65884
62	34020.93013
63	33906.16077
64	33752.89764
65	33622.91946
66	33369.08233
67	33264.81565
68	33141.77665
69	32959.35932
70	32743.18483
71	32588.5877
72	32489.37725
73	32370.98312
74	32217.36885
75	32108.67998
76	31977.47995
77	31829.8876
78	31664.23124
79	31589.36996
80	31454.28983
81	31371.45094
82	31260.76979
83	31168.89733
84	30984.93376
85	30884.40706
86	30794.88768
87	30720.21872
88	30598.65574
89	30486.50592
90	30429.39673
91	30205.69796
92	30099.79036
93	29972.43428
94	29896.16739
95	29791.60392
96	29713.61977
97	29624.45714
98	29475.69385
99	29428.48602
100	29274.08646
101	29181.83508
102	29093.81153
103	28990.63757
104	28876.1018
105	28815.18253
106	28735.91565
107	28632.75294
108	28555.57342
109	28478.18367
110	28407.10236
111	28291.47429
112	28218.28141
113	28146.57665
114	28057.75523
115	27984.01197
116	27956.1463
117	27871.08505
118	27756.27368
119	27683.63159
120	27625.18286
121	27550.35538
122	27482.97719
123	27430.7551
