iter	Passed	Remaining
0	2	1297
1	5	1261
2	7	1221
3	9	1154
4	11	1124
5	13	1109
6	15	1087
7	17	1095
8	19	1075
9	21	1068
10	24	1067
11	26	1079
12	28	1072
13	30	1054
14	32	1042
15	34	1029
16	35	1017
17	37	1007
18	39	1005
19	41	1002
20	43	1000
21	46	1003
22	47	994
23	49	985
24	51	984
25	54	986
26	56	991
27	59	994
28	64	1047
29	67	1049
30	69	1049
31	74	1087
32	76	1082
33	78	1080
34	81	1078
35	83	1081
36	86	1087
37	88	1081
38	90	1075
39	92	1067
40	94	1061
41	96	1054
42	99	1052
43	101	1053
44	103	1049
45	105	1042
46	107	1032
47	108	1024
48	110	1016
49	112	1008
50	114	1006
51	116	1003
52	118	1000
53	120	998
54	122	992
55	124	987
56	126	982
57	127	974
58	129	967
59	130	960
60	132	953
61	134	946
62	135	939
63	136	932
64	138	927
65	140	922
66	141	916
67	143	912
68	145	906
69	146	902
70	148	899
71	150	895
72	152	889
73	153	884
74	155	879
75	156	874
76	158	868
77	159	863
78	161	859
79	162	855
80	164	851
81	165	846
82	167	841
83	168	836
84	170	832
85	171	827
86	173	822
87	174	818
88	176	816
89	178	811
90	179	808
91	181	805
92	183	801
93	184	798
94	186	794
95	187	791
96	189	787
97	190	782
98	192	779
99	194	777
100	195	773
101	197	770
102	199	767
103	200	763
104	202	760
105	204	758
106	205	755
107	207	752
108	209	750
109	211	750
110	213	748
111	215	745
112	217	743
113	219	742
114	221	741
115	223	738
116	224	735
117	226	732
118	228	730
119	229	727
120	231	725
121	233	723
122	235	721
123	236	718
124	238	715
125	240	713
126	242	712
127	244	709
128	245	706
129	247	703
130	249	701
131	250	699
132	252	696
133	254	694
134	255	691
135	257	689
136	259	687
137	261	686
138	263	683
139	264	681
140	266	678
141	268	676
142	270	674
143	271	672
144	273	669
145	275	667
146	276	663
147	277	661
148	279	659
149	281	657
150	283	656
151	285	653
152	287	651
153	288	648
154	290	646
155	291	643
156	293	642
157	295	639
158	297	637
159	298	634
160	300	632
161	301	629
162	303	627
163	305	624
164	306	623
165	308	621
166	310	619
167	312	617
168	314	615
169	315	613
170	317	610
171	319	609
172	321	606
173	322	604
174	324	603
175	326	600
176	327	598
177	329	596
178	331	594
179	333	593
180	335	590
181	336	588
182	338	586
183	340	584
184	341	581
185	343	579
186	344	577
187	346	574
188	347	572
189	349	569
190	351	568
191	353	566
192	354	564
193	356	562
194	358	560
195	359	558
196	361	556
197	363	554
198	365	552
199	366	550
200	368	547
201	369	545
202	372	544
203	373	542
204	375	540
205	376	537
206	378	535
207	379	533
208	381	531
209	383	529
210	385	527
211	387	526
212	388	524
213	390	522
214	392	519
215	393	517
216	394	515
217	396	513
218	398	511
219	400	509
220	401	507
221	404	506
222	405	504
223	407	501
224	408	499
225	410	497
226	412	495
227	413	493
228	415	491
229	416	489
230	418	487
231	419	484
232	421	482
233	422	480
234	424	478
235	425	476
236	427	473
237	429	473
238	431	471
239	432	468
240	434	466
241	436	464
242	437	462
243	439	460
244	441	459
245	442	457
246	444	455
247	445	453
248	447	450
249	448	448
250	450	446
251	451	444
252	453	442
253	454	440
254	456	438
255	457	436
256	459	434
257	460	431
258	462	430
259	463	428
260	465	426
261	467	424
262	469	422
263	470	420
264	472	418
265	473	416
266	475	415
267	477	412
268	478	410
269	480	408
270	482	407
271	483	405
272	485	403
273	486	401
274	488	399
275	489	397
276	491	395
277	493	393
278	495	392
279	496	390
280	498	388
281	500	386
282	502	385
283	504	383
284	505	381
285	507	379
286	509	378
287	511	376
288	512	374
289	515	373
290	517	371
291	518	369
292	520	367
293	522	365
294	523	363
295	525	361
296	526	360
297	528	358
298	530	356
299	531	354
300	532	352
301	534	350
302	536	348
303	537	346
304	538	344
305	540	342
306	542	341
307	544	339
308	545	337
309	547	335
310	549	333
311	550	331
312	552	329
313	554	328
314	556	326
315	558	325
316	560	323
317	562	321
318	563	319
319	565	317
320	566	315
321	568	314
322	569	312
323	570	310
324	572	308
325	574	306
326	576	304
327	578	303
328	579	301
329	581	299
330	583	297
331	584	295
332	586	293
333	587	292
334	589	290
335	590	288
336	592	286
337	594	284
338	595	283
339	597	281
340	598	279
341	600	277
342	602	275
343	603	273
344	605	271
345	607	270
346	608	268
347	610	266
348	612	264
349	614	263
350	615	261
351	617	259
352	618	257
353	620	255
354	621	253
355	623	252
356	624	250
357	627	248
358	628	246
359	630	245
360	632	243
361	633	241
362	635	239
363	636	237
364	638	236
365	640	234
366	641	232
367	643	230
368	645	229
369	646	227
370	648	225
371	650	223
372	651	221
373	653	220
374	655	218
375	656	216
376	658	214
377	660	213
378	662	211
379	663	209
380	665	207
381	667	206
382	668	204
383	670	202
384	671	200
385	673	198
386	675	197
387	676	195
388	678	193
389	680	191
390	681	189
391	682	188
392	684	186
393	686	184
394	688	182
395	690	181
396	692	179
397	694	177
398	695	176
399	697	174
400	698	172
401	700	170
402	702	168
403	703	167
404	705	165
405	707	163
406	708	161
407	710	160
408	712	158
409	713	156
410	714	154
411	716	153
412	718	151
413	720	149
414	722	147
415	723	146
416	725	144
417	727	142
418	728	140
419	730	139
420	731	137
421	733	135
422	734	133
423	736	132
424	738	130
425	739	128
426	741	126
427	742	124
428	744	123
429	745	121
430	747	119
431	748	117
432	750	116
433	751	114
434	752	112
435	754	110
436	756	109
437	757	107
438	759	105
439	761	103
440	762	102
441	764	100
442	765	98
443	767	96
444	769	95
445	770	93
446	772	91
447	773	89
448	775	88
449	776	86
450	778	84
451	779	82
452	780	81
453	782	79
454	784	77
455	785	75
456	787	74
457	788	72
458	790	70
459	791	68
460	793	67
461	795	65
462	796	63
463	797	61
464	799	60
465	800	58
466	802	56
467	803	54
468	805	53
469	806	51
470	808	49
471	810	48
472	812	46
473	814	44
474	815	42
475	817	41
476	818	39
477	820	37
478	822	36
479	823	34
480	825	32
481	826	30
482	828	29
483	829	27
484	831	25
485	833	23
486	834	22
487	836	20
488	838	18
489	839	17
490	841	15
491	842	13
492	844	11
493	846	10
494	847	8
495	849	6
496	850	5
497	852	3
498	853	1
499	855	0
